date,Y_RCY@KAU.A,YL_RCY@KAU.A,YLAGFA_RCY@KAU.A,YL_NF_RCY@KAU.A,YSOCSEC_RCY@KAU.A,YDIV_RCY@KAU.A,YTRNSF_RCY@KAU.A,NR@KAU.A,YPC_RCY@KAU.A
1969-01-01,720974.5194418605,599986.4439069767,118623.84446511629,481362.5994418605,35592.306976744185,108902.79627906978,49777.69339534883,,
1970-01-01,742589.1264,602478.2015999999,112077.71519999999,490400.48639999994,35658.58559999999,118870.11839999998,58804.20479999999,29.8,24919.09820134228
1971-01-01,792830.8938942491,637942.1540100346,103537.48649942104,534404.6675106136,40425.955229641055,128263.47075260515,71625.97245851022,30.9,25657.957731205475
1972-01-01,818580.3782959641,648360.2044843049,94868.51147982062,553491.6930044843,43696.56278026906,135234.45677130044,84870.96565022421,31.9,25660.826905829595
1973-01-01,876969.5812017166,691648.653304721,107465.43193133046,584183.2213733904,53868.941287553636,152468.82927038625,96185.97527896994,32.9,26655.610370872848
1974-01-01,1080332.0955965081,881345.3288069833,304999.4210669252,576345.907740058,56222.86199806012,158349.075227934,108583.91185257028,32.6,33139.0213373162
1975-01-01,955398.1711035401,743108.5295808028,124212.5044585987,618896.0251222041,56626.81980151089,162067.52898237295,126144.29776921937,33.4,28604.735661782637
1976-01-01,977765.2301395348,768514.6753488372,96630.69767441861,671883.9776744186,61757.75255813953,156692.04465116278,137194.11720930232,34.9,28016.195706003862
1977-01-01,1021672.1257066166,816452.7323151254,99497.58561266943,716955.146702456,65824.62548382767,159948.60536303848,137161.8997718427,35.5,28779.496498777928
1978-01-01,1045081.3454110614,827249.4727055307,72802.93339312407,754446.5393124067,72199.43689088192,180559.3214349776,138678.9415246637,36.8,28398.949603561454
1979-01-01,1072736.1849375106,847801.9009000729,81495.8995325898,766306.001367483,76311.25616095947,195161.86225186347,140688.95241383175,38.1,28155.805378937283
1980-01-01,1195568.30779239,965591.3217066558,170534.14498945884,795057.1767171969,77212.67765083826,209545.80372251777,141182.86563999596,39.4,30344.3732942231
1981-01-01,1110489.678211559,848003.7042966193,71292.55511450379,776711.1491821153,81491.0512104689,225338.85875681564,156449.85906215917,40.457,27448.641229244855
1982-01-01,1131042.397120082,876342.7177372074,85382.18984829003,790960.5278889172,84470.70128053483,208660.3657084083,163519.4820262278,41.804,27055.84147737255
1983-01-01,1248338.4055376097,944621.5677341948,99152.75739732348,845468.8103368713,89828.82407014306,253898.86006460543,173222.67688047994,42.796,29169.511298663656
1984-01-01,1241050.9426624787,910921.5220681323,76745.29283401786,834176.2292341144,90440.86996859143,273163.08345010865,173706.34707900457,43.634,28442.291393465614
1985-01-01,1297266.9718385646,956149.9556186387,69377.83907974261,886772.1165388961,97806.23739832322,283837.2274486254,180677.05028504576,44.357,29246.048466725988
1986-01-01,1375035.1687569998,1023942.7504262694,66202.2844813531,957740.4659449162,107200.01720010667,299169.69522837223,184034.7827602758,45.567,30176.117996730085
1987-01-01,1398849.4153524803,1055170.2427154046,54926.2584508268,1000243.9842645777,112416.0664229765,298708.7681462141,179273.8799303742,47.203,29634.75659073534
1988-01-01,1570691.4820862422,1198588.019778234,55277.22132238192,1143310.798455852,128703.49108829569,337181.87334702257,181623.9639917864,48.549,32352.705145033717
1989-01-01,1730603.9837825242,1334782.3220194173,44838.540893203884,1289943.7811262137,143481.3586330097,366833.89514563105,189903.59639611648,49.847,34718.31772789785
1990-01-01,1758679.6458342378,1379170.3311473033,45610.742381469405,1333559.588765834,151247.90526239589,346930.2129858848,195704.36409699597,51.676,34032.813024116374
1991-01-01,1787602.6483271376,1409665.221710037,39665.00550185874,1370000.2162081783,157815.61100371747,341763.33977695165,203535.6612639405,53.379,33488.87480708027
1992-01-01,1847588.0119626166,1377935.8115887847,29585.460186915883,1348350.351401869,154387.1013084112,349303.8444859813,282717.3285981308,54.439,33938.683884028294
1993-01-01,1875077.273778888,1390629.6154153654,48914.86623360399,1341714.7491817614,153848.4437726421,381323.74530918174,266658.264809494,55.461,33808.93373323396
1994-01-01,1859802.3361896076,1375960.9947614705,48882.10603463992,1327078.8887268305,152280.32918869643,367837.192075357,272435.53025828017,56.478,32929.67768316172
1995-01-01,1901127.4023907222,1386302.7215700264,47316.090942610754,1338986.6306274156,152793.84028545936,360757.82280107035,308141.26655961934,57.068,33313.370056611806
1996-01-01,1864899.6470395313,1348998.9474202048,46034.97126793557,1302963.9761522692,149879.8492767203,356757.64333821373,307669.6356310395,57.688,32327.340990145804
1997-01-01,1884344.9733992442,1350840.2384414077,37884.07267228846,1312956.165769119,149313.80961907533,374719.1688048852,304177.1766211108,57.712,32650.834720668907
