date,E_NF@KAU.A,UR@KAU.A,Y_R@KAU.A,NR@KAU.A,YPC_R@KAU.A,VIS@KAU.A,VDAY@KAU.A,PMKRSGF@KAU.A,KPPRVRSD_R@KAU.A,ECT@KAU.A
1969-01-01,,,283933.1923890064,,,,,,,
1970-01-01,,,292445.4271356784,29.8,9813.604937438871,,,,,
1971-01-01,,,312231.5708220764,30.9,10104.581580002472,,,,,
1972-01-01,10.158333333333333,,322372.197309417,31.9,10105.711514401788,,,,,0.61475
1973-01-01,10.691666666666668,,345366.95278969954,32.9,10497.475768683877,,,,,0.7068083333333334
1974-01-01,10.666666666666666,,425454.898157129,32.6,13050.763747151193,,,,,0.8621083333333334
1975-01-01,11.6,,376253.5920604355,33.4,11265.077606599865,,,,,0.8674916666666665
1976-01-01,12.299999999999999,,385062.15644820296,34.9,11033.29961169636,,,,,0.8078833333333334
1977-01-01,13.041666666666664,,402353.5095960274,35.5,11333.901678761335,,,,,0.6839083333333335
1978-01-01,13.683333333333335,,411572.4962630793,36.8,11184.0352245402,,,,,0.7042999999999999
1979-01-01,14.283333333333333,,422463.48708176875,38.1,11088.280500833825,,,,,0.9308166666666667
1980-01-01,15.158333333333331,,470837.06455175177,39.4,11950.179303343955,,,,,1.4052583333333333
1981-01-01,15.241666666666667,,437331.5158124318,40.457,10809.786089241214,,,,,1.1010416666666667
1982-01-01,15.149999999999999,,445425.5592697351,41.804,10655.094231885347,,,,,0.8069416666666666
1983-01-01,15.741666666666667,,491618.91177581076,42.796,11487.496770161015,,,,,1.0282583333333335
1984-01-01,15.741666666666667,,488748.973181928,43.634,11201.104028554064,,,,,0.6455666666666667
1985-01-01,16.725,,510887.8923766815,44.357,11517.63853228761,,,,,0.7642666666666668
1986-01-01,17.916666666666668,,541514.4565921299,45.567,11883.91723379046,,,,,0.8597333333333333
1987-01-01,19.316666666666666,,550892.9503916448,47.203,11670.719030393086,,,,,0.9840916666666666
1988-01-01,21.025,,618567.5564681725,48.549,12741.097787146438,,,,,0.9894666666666666
1989-01-01,23.191666666666663,,681544.0776699029,49.847,13672.720076833168,,,,114.69979215035933,1.6027500000000001
1990-01-01,24.049999999999997,3.583333333333334,692600.7962359753,51.676,13402.755558401876,1228.8495433326975,,,168.50683491062043,1.8000000000000005
1991-01-01,25.241666666666664,4.125,703991.2132477189,53.379,13188.542558828733,1182.3263306884683,,,66.53035306070612,1.7000000000000002
1992-01-01,24.566666666666666,9.6,727614.5665485015,54.439,13365.685750078095,881.7303428377162,5042.545358000001,,73.94641987335606,1.7000000000000002
1993-01-01,22.40833333333333,12.966666666666667,738440.3497813867,55.461,13314.587724371842,576.3656999692801,2975.3775780000005,,52.9045077371608,2.8249999999999997
1994-01-01,22.924999999999997,12.258333333333331,732424.7948951686,56.478,12968.320317560265,860.7187509557821,4830.678644000001,246875.00000000003,96.51252475247526,1.8833333333333335
1995-01-01,23.50833333333333,10.733333333333333,748699.3755575379,57.068,13119.425519687704,929.1500804582585,5213.998817999999,244687.49999999997,38.72573965748114,1.583333333333333
1996-01-01,23.333333333333332,11.291666666666666,734432.2108345535,57.688,12731.108910597584,975.4363452584432,5481.217458000001,220500.00000000003,44.308022301871766,1.2500000000000002
1997-01-01,23.391666666666666,10.250000000000002,742090.14248328,57.712,12858.50676606737,997.0867190284378,5936.905071000001,228375.0,37.48753593296809,0.9916666666666667
1998-01-01,23.941666666666666,8.966666666666667,756525.9475218658,57.843,13078.954195354076,1078.3995818226836,6279.755435,228624.99999999997,39.262240805265186,0.9000000000000002
1999-01-01,24.608333333333334,6.858333333333334,776970.2741702741,58.264,13335.340418959806,1089.2886045244759,6400.674916999999,234500.0,63.13978043143295,0.8833333333333334
2000-01-01,25.566666666666666,4.5,817220.6466250708,58.568,13953.364407612875,1074.8214350313913,6620.566012000001,257137.5,71.85984864821458,1.075
2001-01-01,25.645833333333332,5.05,831340.807174888,59.075,14072.633214979061,1008.697785076027,6155.998682,289875.0,94.14425634161138,1.0708333333333333
2002-01-01,26.016666666666666,4.383333333333334,865456.8654646324,59.981,14428.850226982418,1005.8972880585242,6335.0302280000005,323750.0,115.21690143750737,1.2625000000000002
2003-01-01,27.033333333333342,3.958333333333334,887735.9718080781,60.805,14599.719954084008,975.8669847940015,6631.754502999998,368749.99999999994,99.0704076482119,1.3083333333333333
2004-01-01,28.058333333333337,3.358333333333333,945733.92810286,62.095,15230.436075414449,1020.9213095234365,7011.303564,495000.0,80.11057789627833,1.325
2005-01-01,28.808333333333326,2.7249999999999996,980785.6420626895,62.863,15601.954123454012,1090.1474113755608,7172.7530289999995,626875.0,164.55461380056295,1.4749999999999999
