date,VIS@KAU.M,VISUS@KAU.M,VISUSW@KAU.M,VISUSE@KAU.M,VISJP@KAU.M,VISRES@KAU.M,VLOS@KAU.M,VDAY@KAU.M,VEXP@KAU.M
1989-01-01,,,,,,,,,
1989-02-01,,,,,,,,,
1989-03-01,,,,,,,,,
1989-04-01,,,,,,,,,
1989-05-01,,,,,,,,,
1989-06-01,,,,,,,,,
1989-07-01,,,,,,,,,
1989-08-01,,,,,,,,,
1989-09-01,,,,,,,,,
1989-10-01,,,,,,,,,
1989-11-01,,,,,,,,,
1989-12-01,,,,,,,,,
1990-01-01,103.5101280612,83.5274635713,,,,,,,
1990-02-01,100.6328105809,81.6629913648,,,,,,,
1990-03-01,100.2232932876,82.919275785,,,,,,,
1990-04-01,104.3927019677,88.9515729205,,,,,,,
1990-05-01,101.8097245986,84.2106238495,,,,,,,
1990-06-01,103.62326975,83.8740103766,,,,,,,
1990-07-01,105.8054861447,86.180704883,,,,,,,
1990-08-01,105.8582208441,84.1087324195,,,,,,,
1990-09-01,97.6632802252,79.4397592241,,,,,,,
1990-10-01,102.1848888558,80.0798567205,,,,,,,
1990-11-01,102.1727929552,79.2615356624,,,,,,,
1990-12-01,100.9729460618,77.8070732228,,,,,,,
1991-01-01,96.2676321009,76.962762709,,,11.4757125237,7.8291568682,,,
1991-02-01,82.219136891,68.7470828633,,,5.5327810615,7.9392729662,,,
1991-03-01,91.7285500221,75.4736062336,,,5.3296433214,10.9253004672,,,
1991-04-01,102.0716590892,84.7379841114,,,7.4427588714,9.8909161064,,,
1991-05-01,101.0884212311,81.8441503786,,,7.8713505532,11.3729202993,,,
1991-06-01,102.2386549589,82.3798616616,,,8.509784759,11.3490085382,,,
1991-07-01,106.4949828526,86.8200431785,,,11.7333132526,7.9416264214,,,
1991-08-01,106.7630479991,89.4029507402,,,10.421921505,6.9381757539,,,
1991-09-01,102.9866296889,83.7196314714,,,10.2832576333,8.9837405841,,,
1991-10-01,97.8196121335,78.4482793227,,,9.1887938709,10.1825389399,,,
1991-11-01,93.0849614922,72.287080151,,,10.0639490472,10.733932294,,,
1991-12-01,99.563042229,80.1222671785,,,9.2967336008,10.1440414496,,,
1992-01-01,91.1569808107,68.0593420258,,,9.3013284394,13.7963103455,5.5052847687,501.8451380222,
1992-02-01,90.6434192608,66.7590928357,,,9.7496668616,14.1346595635,5.1775891115,469.3143805978,
1992-03-01,89.7112870806,67.1795550949,,,8.5643209099,13.9674110759,4.6218720633,414.6340915238,
1992-04-01,86.6549868273,64.9937849724,,,8.4771799233,13.1840219316,4.5231025138,391.9493887551,
1992-05-01,81.0655668088,59.8801719729,,,9.3508839086,11.8345109273,4.4559719922,361.2258952303,
1992-06-01,77.0956983925,57.5615045627,,,8.653586353,10.8806074768,4.3788764582,337.592538719,
1992-07-01,69.0123991826,51.2553184537,,,8.3429956367,9.4140850922,7.0826440865,488.7902609666,
1992-08-01,63.9313802358,46.7853928986,,,8.8880533537,8.2579339835,7.1907284597,459.7131953299,
1992-09-01,65.5536897814,48.196339235,,,9.5798684425,7.7774821039,7.0192694257,460.1390104254,
1992-10-01,60.3022017868,43.5801390384,,,9.8818476095,6.8402151389,6.9563923796,419.4857769842,
1992-11-01,55.6291165815,40.1661667515,,,9.2941282366,6.1688215934,6.9795288835,388.2650259458,
1992-12-01,50.9736160889,36.2275921585,,,9.5361403252,5.2098836052,6.8582667333,349.5906554999,
1993-01-01,45.2599042773,31.8308386013,,,8.0280472762,5.4010183998,5.4313526694,245.8225019136,
1993-02-01,39.0291255379,27.3319216995,,,7.8563466271,3.8408572114,5.4577030461,213.0093773358,
1993-03-01,38.2202138375,26.283019998,,,8.0857885087,3.8514053308,5.2656892546,201.2557693111,
1993-04-01,38.9266242579,25.8879712476,,,7.930808717,5.1078442933,5.0929684485,198.252069153,
1993-05-01,43.2246380471,29.1071983594,,,7.4183574269,6.6990822608,5.0014114647,216.1842002844,
1993-06-01,43.5058850482,28.6579782928,,,6.8347264676,8.0131802879,5.0268121763,218.6959127013,
1993-07-01,47.3535508962,31.0947344576,,,6.3149807877,9.9438356509,4.9899257066,236.2907009147,
1993-08-01,49.9799192478,32.5880314739,,,6.7210638775,10.6708238964,5.0827524058,254.0355548005,
1993-09-01,53.8511858593,36.0753111501,,,6.1726545738,11.6032201354,5.0793963741,273.5315181936,
1993-10-01,58.2526082853,39.7938865394,,,6.6697927953,11.7889289506,5.1650062969,300.8750886017,
1993-11-01,58.4243029094,40.7361929433,,,6.3937296199,11.2943803463,5.2248130307,305.2560591494,
1993-12-01,60.3377417653,41.910715237,,,6.2937033226,12.1333232058,5.1736909024,312.168825641,
1994-01-01,66.3011577172,50.9078183471,,,5.0728287018,10.3205106683,5.1680304844,342.6464042315,
1994-02-01,70.3601487287,50.7723071926,,,6.4626320521,13.125209484,5.5099983274,387.6843018088,
1994-03-01,72.2568474024,51.7691599396,,,6.7340838517,13.7536036111,5.5646711932,402.0855972512,
1994-04-01,72.5004577207,54.2800637062,,,6.473897551,11.7464964634,5.4629788158,396.0684646638,
1994-05-01,69.6891612343,51.45612471,,,6.9724470057,11.2605895187,5.5818384719,388.9936412555,
1994-06-01,70.6786277075,52.3611041743,,,7.5026223194,10.8149012137,5.6404056473,398.6561308653,
1994-07-01,71.2031414809,53.4130861926,,,7.8933843021,9.8966709862,5.683256128,404.6656901536,
1994-08-01,73.2345858905,55.664302661,,,8.7391193286,8.8311639009,5.7312253144,419.7239125422,
1994-09-01,70.6859303181,52.9838099834,,,9.0751621393,8.6269581953,5.793742304,409.5360647784,
1994-10-01,72.6846001604,55.5445835576,,,8.1521008647,8.9879157381,5.6792389837,412.7932147438,
1994-11-01,75.5658676702,57.8299233365,,,8.7148469654,9.0210973683,5.7885771816,437.4188573024,
1994-12-01,75.5582249249,58.4639161991,,,8.3268749182,8.7674338077,5.6963535714,430.4063644035,
1995-01-01,73.2137132695,56.385057315,,,8.6705492784,8.1581066761,5.6735421706,415.3810897014,
1995-02-01,73.9247397447,58.3230081166,,,7.2671753102,8.334556318,5.5417176576,409.6700355798,
1995-03-01,75.4340140669,57.829203441,,,8.6378832172,8.9669274087,5.6373820783,425.2503589944,
1995-04-01,73.9543830437,55.2067530039,,,8.4854372284,10.2621928115,5.6976727176,421.3678706155,
1995-05-01,76.1698017505,56.0504312793,,,9.1746590722,10.944711399,5.6948627352,433.7765655401,
1995-06-01,77.1744175487,56.2597593248,,,9.0249427197,11.8897155042,5.6379868378,435.1083503553,
1995-07-01,79.2123578715,57.7633422319,,,8.6514069496,12.79760869,5.6173977499,444.967320873,
1995-08-01,80.0161853007,58.5983415952,,,7.4730642254,13.94477948,5.5921038872,447.4588208576,
1995-09-01,78.6715190553,58.2403660629,,,7.0825869689,13.3485660235,5.5663609725,437.9140733154,
1995-10-01,79.4853754256,60.1088206661,,,7.3377874349,12.0387673245,5.656199528,449.5851429651,
1995-11-01,80.6550325252,59.7152998926,,,6.7875886674,14.1521439652,5.5499295295,447.629746711,
1995-12-01,81.2385408559,57.9945170707,,,6.9269189277,16.3171048575,5.4886441558,445.8894424914,
1996-01-01,79.2687303784,60.2180477884,,,7.1446880107,11.9059945793,5.5191397576,437.4952013647,
1996-02-01,83.441249835,63.3463516054,,,7.0281099279,13.0667883017,5.4558717432,455.2447571959,
1996-03-01,79.0076156498,59.73926139,,,7.6364352768,11.631918983,5.6473171756,446.1810648643,
1996-04-01,80.2596981449,60.5197138193,,,7.9021925656,11.83779176,5.6279149404,451.6947542996,
1996-05-01,83.6325819589,63.2960120318,,,8.0627376395,12.2738322875,5.5203724435,461.6830008218,
1996-06-01,84.7576430307,63.2347259638,,,8.8778610568,12.64505601,5.5325090081,468.9224235723,
1996-07-01,81.4315460919,61.1581656965,,,9.3441890069,10.9291913885,5.597070122,455.7780736212,
1996-08-01,81.6087126065,61.6777864279,,,9.158381923,10.7725442555,5.6477629893,460.9066666651,
1996-09-01,81.8247694948,61.8548533058,,,8.8571373917,11.1127787973,5.7409287781,469.7501739573,
1996-10-01,77.1186376958,55.034910009,,,9.5333004695,12.5504272174,5.9394906453,458.0454271731,
1996-11-01,81.1167737182,59.474298909,,,8.8500959526,12.7923788566,5.6871627513,461.3242939974,
1996-12-01,81.9683866536,60.4513730532,,,9.3048707788,12.2121428216,5.5410584374,454.1916204673,
1997-01-01,82.3025737191,59.9098383063,,,7.9569827632,14.4357526496,5.5547374257,457.1691864721,
1997-02-01,82.5354273233,59.3759833826,,,8.0236944823,15.1357494584,5.7921511126,478.0576671968,
1997-03-01,83.6464409835,60.2017355072,,,7.9192899987,15.5254154776,5.9386263448,496.7449580774,
1997-04-01,86.0246882807,63.8237761434,,,8.1298119763,14.0711001609,6.0837197162,523.350092173,
1997-05-01,79.5497046835,58.1988028316,,,8.2503593457,13.1005425061,6.2173295078,494.5867262668,
1997-06-01,81.0083979734,59.9716178994,,,7.5482308501,13.4885492239,5.9565895165,482.533774117,
1997-07-01,80.8203739612,58.9194877408,,,7.4871052244,14.4137809959,6.0302154512,487.3642678289,
1997-08-01,82.4659596432,60.6922548996,,,7.3048881232,14.4688166204,5.9837282464,493.4538920792,
1997-09-01,85.0317568482,62.1121350633,,,8.5178352947,14.4017864902,6.2401839022,530.6138002583,
1997-10-01,84.3977916662,62.3091308834,,,8.6531281844,13.4355325984,6.0294828675,508.8750389055,
1997-11-01,84.2248832403,63.2051319237,,,9.0862165147,11.933534802,5.9749479911,503.2392969192,
1997-12-01,85.0787207059,63.7236054186,,,9.4524572422,11.9026580451,5.6526046315,480.9163707056,
1998-01-01,87.5795146937,63.1607783503,,,9.9029753731,14.5157609703,6.307627884,552.4189889524,
1998-02-01,86.1300062733,62.3062292643,,,10.0473495085,13.7764275005,6.0130419888,517.9033442204,
1998-03-01,87.5472732059,63.6608975797,,,9.6123235731,14.2740520532,5.8269973453,510.1377285612,
1998-04-01,94.1633678881,70.0686801097,,,9.3019090132,14.7927787651,5.57643443,525.0958467321,
1998-05-01,90.8647000085,66.2314750959,,,8.765590381,15.8676345315,5.6187394631,510.5450757378,
1998-06-01,90.0094834362,66.6523575828,,,8.559043846,14.7980820075,5.7230173396,515.1258344318,
1998-07-01,89.3824336113,65.5164275255,,,9.5841704083,14.2818356775,5.7609042982,514.9236459754,
1998-08-01,88.8055344571,65.7043677679,,,9.2827168663,13.8184498229,5.7770477371,513.0338118742,
