date,Const Jobs (Thou),Real Resid Bldg Permits (1992 $MIL),Med Resale Price for SFH ($THOU),Med Resale Price for Condo ($THOU),Med Resale Price for SFH ($THOU),No. of Resales for SFH (#),No. of Resales for Condo (#),"HNL Const Cost Idx, SFH (Idx (1992=100))","Housing Affordability, SFH (Idx (1992=100))","Housing Affordability, Condo (Idx (1992=100))"
1972-01-01,0.61475,,,,,,,,,
1973-01-01,0.7068083333333334,,,,,,,,,
1974-01-01,0.8621083333333334,,,,,,,,,
1975-01-01,0.8674916666666665,,,,,,,,,
1976-01-01,0.8078833333333334,,,,,,,,,
1977-01-01,0.6839083333333335,,,,,,,,,
1978-01-01,0.7042999999999999,,,,,,,,,
1979-01-01,0.9308166666666667,,,,,,,,,
1980-01-01,1.4052583333333333,,,,,40.00000000000001,23.0,,,
1981-01-01,1.1010416666666667,,,,,46.0,23.000000000000004,,,
1982-01-01,0.8069416666666666,,,,,40.0,26.999999999999993,65.3,,
1983-01-01,1.0282583333333335,,,,,62.99999999999999,37.0,71.525,,
1984-01-01,0.6455666666666667,,,,,66.0,49.0,74.625,,
1985-01-01,0.7642666666666668,,,,,103.00000000000001,111.0,76.65,,
1986-01-01,0.8597333333333333,,,,,178.0,182.0,79.3,,
1987-01-01,0.9840916666666666,,,,,215.0,254.0,82.07499999999999,,
1988-01-01,0.9894666666666666,,,,,204.0,268.0,86.67500000000001,,
1989-01-01,1.6027500000000001,114.69979215035933,,,,262.0,280.99999999999994,90.45,,
1990-01-01,1.8000000000000005,168.50683491062043,,,,282.0,293.0,95.1,,
1991-01-01,1.7000000000000002,66.53035306070612,,,,153.00000000000003,164.0,98.42500000000001,,
1992-01-01,1.7000000000000002,73.94641987335606,,,,263.99999999999994,94.0,102.64999999999999,,
1993-01-01,2.8249999999999997,52.9045077371608,,,,193.0,77.0,111.475,,
1994-01-01,1.8833333333333335,96.51252475247526,246875.00000000003,140625.0,246875.00000000003,202.00000000000003,143.0,121.19999999999999,78.91374970870854,138.53747171084387
1995-01-01,1.583333333333333,38.72573965748114,244687.49999999997,140875.0,244687.49999999997,154.0,101.00000000000001,118.24166666666666,85.3022683433162,148.16254683410955
1996-01-01,1.2500000000000002,44.308022301871766,220500.00000000003,147687.5,220500.00000000003,183.99999999999994,134.0,125.55000000000001,101.33295296487783,151.2918569869188
1997-01-01,0.9916666666666667,37.48753593296809,228375.0,125562.5,228375.0,214.0,145.0,129.29166666666666,104.11210730938258,189.36069691811048
1998-01-01,0.9000000000000002,39.262240805265186,228624.99999999997,124725.0,228624.99999999997,336.0,270.0,129.15,115.08381277878814,210.95238882782473
1999-01-01,0.8833333333333334,63.13978043143295,234500.0,126037.5,234500.0,432.99999999999994,400.99999999999994,129.8,107.28219658743421,199.60468193794168
2000-01-01,1.075,71.85984864821458,257137.5,151070.00000000003,257137.5,516.0,420.0,135.2349425,92.03044387312521,156.64578183243353
2001-01-01,1.0708333333333333,94.14425634161138,289875.0,165250.0,289875.0,464.99999999999994,370.0,142.6037458013895,90.83192730192803,159.33376657577242
2002-01-01,1.2625000000000002,115.21690143750737,323750.0,212024.50000000003,323750.0,538.0,472.0,149.85691148242648,85.64306811808399,130.7723555684824
2003-01-01,1.3083333333333333,99.0704076482119,368749.99999999994,290578.0,368749.99999999994,680.0000000000001,536.0,154.6796562543122,80.85792965785497,102.61052647252723
2004-01-01,1.325,80.11057789627833,495000.0,380375.00000000006,495000.0,699.0,528.0,163.09802704103316,60.302649304323495,78.47469314660567
2005-01-01,1.4749999999999999,164.55461380056295,626875.0,437249.99999999994,626875.0,671.0000000000001,673.0,175.09781302711446,48.84222065169413,70.02393841287767
2006-01-01,1.7583333333333337,124.3659734708584,678000.0,446875.0,678000.0,476.0,697.0000000000001,192.41077870553679,44.82433649713532,68.00760871621313
2007-01-01,1.8875000000000002,129.52540800551645,644000.0,574499.7500000001,644000.0,410.0,295.0,207.61531975915256,49.40319111854586,55.3797544391334
2008-01-01,2.0125000000000006,126.41408158994795,596562.5,542750.0,596562.5,283.0,168.0,219.23917218256952,58.10409255005149,63.864988874970216
2009-01-01,1.5958333333333334,98.12411489521789,469374.99999999994,313875.0,469374.99999999994,263.0,161.0,222.2802246246093,87.13769753342994,130.30746883234946
2010-01-01,1.5666666666666664,30.706082845924872,493595.5,268750.0,493595.5,358.0,235.0,221.60853385774945,86.14365592693561,158.21440341984655
2011-01-01,1.3500000000000003,26.31212467649821,462250.0,234385.625,462250.0,360.00000000000006,288.99999999999994,226.2064646309713,100.83697512014203,198.86838942996462
2012-01-01,1.3083333333333336,34.45479616456106,459375.0,292875.0,459375.0,423.0,318.0,232.1817886192656,113.36989710025908,177.8209013416356
2013-01-01,1.3500000000000003,35.01500846152095,519737.5,301624.99999999994,519737.5,446.99999999999994,349.0,243.93309827088325,79.12462672592736,136.34160193275312
