date,Total Nonfarm Jobs,Construction & Mining,Manufacturing,"Trade, Transport, & Utility",Transportation & Utilities,Total Trade Jobs,Information Jobs,Financial Activities,Finance and Insurance Jobs,Real Estate & Rental Jobs,Professional & Bus Services,"Prof, Sci, and Tech Svc Jobs",Mgmt of Companies jobs,Admin & Waste Management,Educational & Health Svs,Educational Services,Healthcare & Social Asst,Leisure & Hospitality,"Arts, Entertain., & Recreation",Accom & Food Services,Other service jobs,Total Government Jobs,Total Government Jobs,Federal Government Jobs,State & Local Government Jobs,Employment,Unemployment Rate,Retail Trade Jobs,Wholesale Trade Jobs
1/1/72,9.978764407,0.599611814,1.326337814,,,,,0.285175231,0.096900705,0.188274526,,,,,,,0.383198931,,,2.137628534,,2.251751344,2.251751344,0.302644016,1.953746487,,,,
2/1/72,9.986054237,0.600187071,1.279841205,,,,,0.286394779,0.097206857,0.189187922,,,,,,,0.383076408,,,2.161161467,,2.268393282,2.268393282,0.301970981,1.969203471,,,,
3/1/72,9.985901554,0.599845324,1.271677756,,,,,0.284227259,0.096618467,0.187608792,,,,,,,0.384162615,,,2.208153921,,2.256697785,2.256697785,0.301548654,1.949948017,,,,
4/1/72,10.04095212,0.602414005,1.286463264,,,,,0.285627465,0.097124632,0.188502832,,,,,,,0.391192222,,,2.217751543,,2.27338271,2.27338271,0.303848008,1.96993289,,,,
5/1/72,10.07884364,0.602890209,1.293564865,,,,,0.291884516,0.099106704,0.192777812,,,,,,,0.395360502,,,2.245535359,,2.273749538,2.273749538,0.302546186,1.957070916,,,,
6/1/72,10.16683814,0.607055035,1.368360441,,,,,0.294537757,0.100063017,0.19447474,,,,,,,0.400167544,,,2.274625228,,2.274721058,2.274721058,0.300196485,2.075255111,,,,
7/1/72,10.17677232,0.612182179,1.290917728,,,,,0.295018174,0.100232271,0.194785904,,,,,,,0.403583596,,,2.288588053,,2.27465801,2.27465801,0.295580494,2.012369811,,,,
8/1/72,10.22280805,0.615517461,1.282787247,,,,,0.296008643,0.100357847,0.195650795,,,,,,,0.404148139,,,2.306009766,,2.279458293,2.279458293,0.298142829,1.94963053,,,,
9/1/72,10.22894463,0.626847084,1.202015837,,,,,0.300550139,0.101959636,0.198590503,,,,,,,0.406287751,,,2.366089289,,2.277495192,2.277495192,0.296088772,2.083301101,,,,
10/1/72,10.29446864,0.629612305,1.2315834,,,,,0.302980348,0.102748215,0.200232133,,,,,,,0.399240811,,,2.335584652,,2.288213437,2.288213437,0.300213228,2.019495071,,,,
11/1/72,10.37300325,0.64003869,1.243236741,,,,,0.305453125,0.103662274,0.201790851,,,,,,,0.398175679,,,2.365703822,,2.290122087,2.290122087,0.298634762,2.028442002,,,,
12/1/72,10.38916822,0.640561828,1.227113702,,,,,0.308612976,0.10469743,0.203915546,,,,,,,0.405279854,,,2.384268366,,2.291451837,2.291451837,0.298585586,2.031604592,,,,
1/1/73,10.50754767,0.667987588,1.213512917,,,,,0.3292338,0.111973905,0.217259895,,,,,,,0.396376301,,,2.213984624,,2.299858073,2.299858073,0.409502748,1.986788351,,,,
2/1/73,10.59209397,0.685658599,1.247091429,,,,,0.333781096,0.113548974,0.220232123,,,,,,,0.405477155,,,2.235207496,,2.293360017,2.293360017,0.405717998,1.965549716,,,,
3/1/73,10.65967356,0.696064673,1.249684791,,,,,0.33784759,0.114952129,0.222895462,,,,,,,0.412528308,,,2.242503818,,2.297763872,2.297763872,0.405314349,1.965277716,,,,
4/1/73,10.42388611,0.693780488,1.223410849,,,,,0.340952294,0.116177676,0.224774618,,,,,,,0.419591071,,,2.236835388,,2.073767653,2.073767653,0.403853611,1.687394898,,,,
5/1/73,10.67048955,0.698945018,1.228795003,,,,,0.341368921,0.116074466,0.225294455,,,,,,,0.424177636,,,2.286303172,,2.285103866,2.285103866,0.403293241,1.942344282,,,,
6/1/73,10.68791333,0.701046081,1.213602697,,,,,0.344061338,0.117000982,0.227060355,,,,,,,0.420686499,,,2.283524683,,2.29171683,2.29171683,0.401385502,2.064187879,,,,
7/1/73,10.6670714,0.712288963,1.217683773,,,,,0.347220979,0.118049278,0.229171701,,,,,,,0.424488432,,,2.269432295,,2.218853567,2.218853567,0.396018423,1.875056932,,,,
8/1/73,10.6975018,0.710764208,1.23172479,,,,,0.348414105,0.118532954,0.229881151,,,,,,,0.428620284,,,2.314164713,,2.224972426,2.224972426,0.398243912,1.838196754,,,,
9/1/73,10.7560218,0.716777935,1.226106173,,,,,0.348939132,0.118630107,0.230309025,,,,,,,0.427234763,,,2.356694538,,2.230048494,2.230048494,0.394036887,1.963797703,,,,
10/1/73,10.85993439,0.737226527,1.231833098,,,,,0.349428019,0.118822268,0.230605752,,,,,,,0.431196184,,,2.363274222,,2.228551815,2.228551815,0.394781426,1.932137112,,,,
11/1/73,10.87220645,0.728486349,1.212580256,,,,,0.353469357,0.120125809,0.233343548,,,,,,,0.433962041,,,2.358713901,,2.23735378,2.23735378,0.395220677,1.944227591,,,,
12/1/73,10.87256883,0.732524635,1.213674222,,,,,0.35531989,0.120710568,0.234609321,,,,,,,0.437251986,,,2.358461155,,2.229749733,2.229749733,0.392631225,1.935041066,,,,
1/1/74,10.56140049,0.856911154,1.109157773,,,,,0.406417843,0.13854923,0.267868613,,,,,,,0.455515769,,,2.221981457,,2.216318441,2.216318441,0.400469913,1.911606233,,,,
