date,Total Visitor Arrivals,US Visitors Arrivals,US West Visitor Arrivals,US East Visitor Arrivals,Japan Visitor Arrivals,Other Visitor Arrivals,Length of Stay,Visitor Days,Total Visitor Expenditures
1/1/89,,,,,,,,,
2/1/89,,,,,,,,,
3/1/89,,,,,,,,,
4/1/89,,,,,,,,,
5/1/89,,,,,,,,,
6/1/89,,,,,,,,,
7/1/89,,,,,,,,,
8/1/89,,,,,,,,,
9/1/89,,,,,,,,,
10/1/89,,,,,,,,,
11/1/89,,,,,,,,,
12/1/89,,,,,,,,,
1/1/90,103.5101281,83.52746357,,,,,,,
2/1/90,100.6328106,81.66299136,,,,,,,
3/1/90,100.2232933,82.91927578,,,,,,,
4/1/90,104.392702,88.95157292,,,,,,,
5/1/90,101.8097246,84.21062385,,,,,,,
6/1/90,103.6232697,83.87401038,,,,,,,
7/1/90,105.8054861,86.18070488,,,,,,,
8/1/90,105.8582208,84.10873242,,,,,,,
9/1/90,97.66328023,79.43975922,,,,,,,
10/1/90,102.1848889,80.07985672,,,,,,,
11/1/90,102.172793,79.26153566,,,,,,,
12/1/90,100.9729461,77.80707322,,,,,,,
1/1/91,96.2676321,76.96276271,,,11.47571252,7.829156868,,,
2/1/91,82.21913689,68.74708286,,,5.532781061,7.939272966,,,
3/1/91,91.72855002,75.47360623,,,5.329643321,10.92530047,,,
4/1/91,102.0716591,84.73798411,,,7.442758871,9.890916106,,,
5/1/91,101.0884212,81.84415038,,,7.871350553,11.3729203,,,
6/1/91,102.238655,82.37986166,,,8.509784759,11.34900854,,,
7/1/91,106.4949829,86.82004318,,,11.73331325,7.941626421,,,
8/1/91,106.763048,89.40295074,,,10.4219215,6.938175754,,,
9/1/91,102.9866297,83.71963147,,,10.28325763,8.983740584,,,
10/1/91,97.81961213,78.44827932,,,9.188793871,10.18253894,,,
11/1/91,93.08496149,72.28708015,,,10.06394905,10.73393229,,,
12/1/91,99.56304223,80.12226718,,,9.296733601,10.14404145,,,
1/1/92,91.15698081,68.05934203,,,9.301328439,13.79631035,5.505284769,501.845138,
2/1/92,90.64341926,66.75909284,,,9.749666862,14.13465956,5.177589112,469.3143806,
3/1/92,89.71128708,67.17955509,,,8.56432091,13.96741108,4.621872063,414.6340915,
4/1/92,86.65498683,64.99378497,,,8.477179923,13.18402193,4.523102514,391.9493888,
5/1/92,81.06556681,59.88017197,,,9.350883909,11.83451093,4.455971992,361.2258952,
6/1/92,77.09569839,57.56150456,,,8.653586353,10.88060748,4.378876458,337.5925387,
7/1/92,69.01239918,51.25531845,,,8.342995637,9.414085092,7.082644087,488.790261,
8/1/92,63.93138024,46.7853929,,,8.888053354,8.257933984,7.19072846,459.7131953,
9/1/92,65.55368978,48.19633924,,,9.579868443,7.777482104,7.019269426,460.1390104,
10/1/92,60.30220179,43.58013904,,,9.88184761,6.840215139,6.95639238,419.485777,
11/1/92,55.62911658,40.16616675,,,9.294128237,6.168821593,6.979528884,388.2650259,
12/1/92,50.97361609,36.22759216,,,9.536140325,5.209883605,6.858266733,349.5906555,
1/1/93,45.25990428,31.8308386,,,8.028047276,5.4010184,5.431352669,245.8225019,
2/1/93,39.02912554,27.3319217,,,7.856346627,3.840857211,5.457703046,213.0093773,
3/1/93,38.22021384,26.28302,,,8.085788509,3.851405331,5.265689255,201.2557693,
4/1/93,38.92662426,25.88797125,,,7.930808717,5.107844293,5.092968449,198.2520692,
5/1/93,43.22463805,29.10719836,,,7.418357427,6.699082261,5.001411465,216.1842003,
6/1/93,43.50588505,28.65797829,,,6.834726468,8.013180288,5.026812176,218.6959127,
7/1/93,47.3535509,31.09473446,,,6.314980788,9.943835651,4.989925707,236.2907009,
8/1/93,49.97991925,32.58803147,,,6.721063877,10.6708239,5.082752406,254.0355548,
9/1/93,53.85118586,36.07531115,,,6.172654574,11.60322014,5.079396374,273.5315182,
10/1/93,58.25260829,39.79388654,,,6.669792795,11.78892895,5.165006297,300.8750886,
11/1/93,58.42430291,40.73619294,,,6.39372962,11.29438035,5.224813031,305.2560591,
12/1/93,60.33774177,41.91071524,,,6.293703323,12.13332321,5.173690902,312.1688256,
1/1/94,66.30115772,50.90781835,,,5.072828702,10.32051067,5.168030484,342.6464042,
2/1/94,70.36014873,50.77230719,,,6.462632052,13.12520948,5.509998327,387.6843018,
3/1/94,72.2568474,51.76915994,,,6.734083852,13.75360361,5.564671193,402.0855973,
4/1/94,72.50045772,54.28006371,,,6.473897551,11.74649646,5.462978816,396.0684647,
5/1/94,69.68916123,51.45612471,,,6.972447006,11.26058952,5.581838472,388.9936413,
6/1/94,70.67862771,52.36110417,,,7.502622319,10.81490121,5.640405647,398.6561309,
